Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,200,771.842,61.88,88.700,1.46,6.085.909,155.24
,,,,5,"[0, 12]",5,853.586,68.43,2.375.880,39.22,4.452.686,113.58
,,,,,,10,757.344,60.72,1.360.758,22.46,4.697.865,119.84
,,,,,,25,696.026,55.8,603.108,9.95,4.964.976,126.65
,,,,,,50,698.209,55.98,321.448,5.31,5.264.101,134.28
,,,,,,100,717.328,57.51,169.392,2.8,5.569.110,142.06
,,,,,,200,745.736,59.79,88.700,1.46,5.877.061,149.92
,,,,10,"[0, 25]",5,824.169,66.07,2.375.880,39.22,4.217.346,107.58
,,,,,,10,724.317,58.07,1.360.758,22.46,4.433.655,113.1
,,,,,,25,659.258,52.85,603.108,9.95,4.670.832,119.15
,,,,,,50,658.000,52.75,321.448,5.31,4.942.427,126.08
,,,,,,100,674.083,54.04,169.392,2.8,5.223.150,133.24
,,,,,,200,699.675,56.09,88.700,1.46,5.508.575,140.52
,,,,15,"[0, 37]",5,798.281,64.0,2.375.880,39.22,4.010.244,102.3
,,,,,,10,695.785,55.78,1.360.758,22.46,4.205.400,107.28
,,,,,,25,628.380,50.38,603.108,9.95,4.423.808,112.85
,,,,,,50,624.950,50.1,321.448,5.31,4.678.026,119.33
,,,,,,100,638.869,51.22,169.392,2.8,4.941.432,126.05
,,,,,,200,662.357,53.1,88.700,1.46,5.210.028,132.9
,,,,20,"[0, 49]",5,773.828,62.04,2.375.880,39.22,3.814.622,97.31
,,,,,,10,668.570,53.6,1.360.758,22.46,3.987.675,101.72
,,,,,,25,599.142,48.03,603.108,9.95,4.189.904,106.88
,,,,,,50,593.791,47.6,321.448,5.31,4.428.755,112.97
,,,,,,100,605.818,48.57,169.392,2.8,4.677.030,119.31
,,,,,,200,627.413,50.3,88.700,1.46,4.930.481,125.77
,,,,30,"[0, 74]",5,728.794,58.43,2.375.880,39.22,3.454.346,88.12
,,,,,,10,616.422,49.42,1.360.758,22.46,3.570.495,91.08
,,,,,,25,542.930,43.53,603.108,9.95,3.740.208,95.41
,,,,,,50,533.977,42.81,321.448,5.31,3.950.239,100.77
,,,,,,100,542.422,43.49,169.392,2.8,4.169.862,106.37
,,,,,,200,560.476,44.93,88.700,1.46,4.394.985,112.11
,co2_11.csv,652.912,CoderBasic,,,,2.285.208,100,11.099.504,100,7.182.032,100
,,,CoderPCA,0,"[0, 0]",5,1.207.340,52.83,2.350.511,21.18,7.308.083,101.76
,,,,,,10,1.052.481,46.06,1.175.273,10.59,7.244.453,100.87
,,,,,,25,959.458,41.99,470.293,4.24,7.205.245,100.32
,,,,,,50,928.471,40.63,235.249,2.12,7.192.396,100.14
,,,,,,100,913.030,39.95,117.727,1.06,7.186.384,100.06
,,,,,,200,905.760,39.64,60.657,0.55,7.185.297,100.05
,,,,3,"[0, 7]",5,1.149.854,50.32,2.350.511,21.18,6.848.195,95.35
,,,,,,10,997.970,43.67,1.175.273,10.59,6.808.358,94.8
,,,,,,25,917.350,40.14,470.293,4.24,6.868.381,95.63
,,,,,,50,894.919,39.16,235.249,2.12,6.923.974,96.41
,,,,,,100,889.344,38.92,117.727,1.06,6.996.898,97.42
,,,,,,200,889.616,38.93,60.657,0.55,7.056.146,98.25
,,,,5,"[0, 12]",5,1.140.190,49.89,2.350.511,21.18,6.770.887,94.28
,,,,,,10,984.840,43.1,1.175.273,10.59,6.703.319,93.33
,,,,,,25,897.649,39.28,470.293,4.24,6.710.773,93.44
,,,,,,50,874.706,38.28,235.249,2.12,6.762.274,94.16
,,,,,,100,870.014,38.07,117.727,1.06,6.842.260,95.27
,,,,,,200,876.756,38.37,60.657,0.55,6.953.263,96.81
,,,,10,"[0, 24]",5,1.124.790,49.22,2.350.511,21.18,6.647.687,92.56
,,,,,,10,972.663,42.56,1.175.273,10.59,6.605.903,91.98
,,,,,,25,880.225,38.52,470.293,4.24,6.571.381,91.5
,,,,,,50,851.731,37.27,235.249,2.12,6.578.475,91.6
,,,,,,100,841.564,36.83,117.727,1.06,6.614.659,92.1
,,,,,,200,843.647,36.92,60.657,0.55,6.688.394,93.13
,,,,15,"[0, 36]",5,1.102.933,48.26,2.350.511,21.18,6.472.831,90.13
,,,,,,10,967.824,42.35,1.175.273,10.59,6.567.194,91.44
,,,,,,25,876.826,38.37,470.293,4.24,6.544.189,91.12
,,,,,,50,847.823,37.1,235.249,2.12,6.547.213,91.16
,,,,,,100,837.344,36.64,117.727,1.06,6.580.900,91.63
,,,,,,200,837.901,36.67,60.657,0.55,6.642.425,92.49
,,,,20,"[0, 47]",5,1.074.163,47.01,2.350.511,21.18,6.242.667,86.92
,,,,,,10,961.562,42.08,1.175.273,10.59,6.517.100,90.74
,,,,,,25,873.592,38.23,470.293,4.24,6.518.317,90.76
,,,,,,50,844.455,36.95,235.249,2.12,6.520.263,90.79
,,,,,,100,833.396,36.47,117.727,1.06,6.549.319,91.19
,,,,,,200,831.881,36.4,60.657,0.55,6.594.267,91.82
,,,,30,"[0, 71]",5,993.483,43.47,2.350.511,21.18,5.597.231,77.93
,,,,,,10,934.944,40.91,1.175.273,10.59,6.304.151,87.78
,,,,,,25,867.949,37.98,470.293,4.24,6.473.173,90.13
,,,,,,50,840.008,36.76,235.249,2.12,6.484.689,90.29
,,,,,,100,829.449,36.3,117.727,1.06,6.517.738,90.75
,,,,,,200,829.145,36.28,60.657,0.55,6.572.377,91.51
,,,CoderAPCA,0,"[0, 0]",5,1.447.229,63.33,2.611.660,23.53,8.966.048,124.84
,,,,,,10,1.372.062,60.04,1.371.132,12.35,9.605.235,133.74
,,,,,,25,1.352.497,59.18,574.574,5.18,10.245.280,142.65
,,,,,,50,1.398.249,61.19,300.357,2.71,10.885.508,151.57
,,,,,,100,1.460.328,63.9,156.720,1.41,11.525.778,160.48
,,,,,,200,1.530.979,67.0,81.625,0.74,12.166.080,169.4
,,,,3,"[0, 7]",5,1.268.993,55.53,2.611.660,23.53,7.540.162,104.99
,,,,,,10,1.171.129,51.25,1.371.132,12.35,7.997.775,111.36
,,,,,,25,1.132.571,49.56,574.574,5.18,8.485.872,118.15
,,,,,,50,1.163.077,50.9,300.357,2.71,9.004.135,125.37
,,,,,,100,1.210.684,52.98,156.720,1.41,9.528.624,132.67
,,,,,,200,1.267.209,55.45,81.625,0.74,10.055.921,140.01
,,,,5,"[0, 12]",5,1.200.045,52.51,2.611.660,23.53,6.988.576,97.31
,,,,,,10,1.095.553,47.94,1.371.132,12.35,7.393.170,102.94
,,,,,,25,1.050.721,45.98,574.574,5.18,7.831.072,109.04
,,,,,,50,1.075.504,47.06,300.357,2.71,8.303.548,115.62
,,,,,,100,1.117.610,48.91,156.720,1.41,8.784.036,122.31
,,,,,,200,1.168.775,51.15,81.625,0.74,9.268.447,129.05
,,,,10,"[0, 24]",5,1.070.748,46.86,2.611.660,23.53,5.954.200,82.9
,,,,,,10,953.745,41.74,1.371.132,12.35,6.258.705,87.14
,,,,,,25,898.255,39.31,574.574,5.18,6.611.344,92.05
,,,,,,50,912.948,39.95,300.357,2.71,7.003.099,97.51
,,,,,,100,945.100,41.36,156.720,1.41,7.403.958,103.09
,,,,,,200,986.432,43.17,81.625,0.74,7.809.703,108.74
,,,,15,"[0, 36]",5,975.048,42.67,2.611.660,23.53,5.188.596,72.24
,,,,,,10,846.019,37.02,1.371.132,12.35,5.396.895,75.14
,,,,,,25,782.789,34.25,574.574,5.18,5.687.616,79.19
,,,,,,50,790.163,34.58,300.357,2.71,6.020.822,83.83
,,,,,,100,815.039,35.67,156.720,1.41,6.363.468,88.6
