DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-05-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
600,N,26700,26581,27632,28727,28102,N,N,N,27021,27855,27810,N,N,N,N,26871,28900,28109,N,29670,N,N,N,N,28562,28223,N,29162,28558,28644,N,N,28701,29058,N,N,29981,29642,N,N,28313,N,N,N,28117,N,N,28561,29846,29800,30331,N,N,27776
600,N,26721,26582,27632,28730,27910,N,N,N,27024,27856,27811,N,N,N,N,26863,28894,28106,N,29634,N,N,N,N,28560,28222,N,29160,28572,28646,N,N,28705,29055,N,N,30010,29657,N,N,28318,N,N,N,28120,N,N,28566,29841,29816,30324,N,N,27761
600,N,26681,N,27631,28692,28104,N,N,N,27010,27853,27807,N,N,N,N,26866,28886,28105,N,29631,N,N,N,N,28561,28200,N,29152,28572,28646,N,N,28712,29061,N,N,29989,29659,N,N,28328,N,N,N,28122,N,N,28568,29834,29819,30263,N,N,27771
600,N,26694,26584,27620,28696,28021,N,N,N,27005,27862,27811,N,N,N,N,26872,28901,28101,N,29666,N,N,N,N,28558,28216,N,29154,28576,28647,N,N,28696,29057,N,N,29975,29655,N,N,28333,N,N,N,28124,N,N,28556,29834,29820,30262,N,N,27774
600,25676,26701,26578,27623,28709,28026,N,N,N,27001,27855,27811,N,N,N,N,26878,28899,28106,N,29656,N,N,N,N,28555,28207,N,29153,28572,28638,N,N,28705,29053,N,N,29945,29670,N,N,28335,N,N,N,28116,N,N,28553,29831,29830,30202,N,N,27769
600,25678,26660,26582,27623,28692,28030,N,N,N,26996,27848,27803,N,N,N,N,26886,28898,28095,N,29671,N,N,N,N,28553,28211,N,29155,28575,28646,N,N,28693,29049,N,N,29955,29655,N,N,28334,N,N,N,28112,N,N,28550,29826,29834,30244,N,N,27755
600,N,26688,26577,27626,28699,28027,N,N,N,26985,27863,27809,N,N,N,N,26884,28895,28102,N,29657,N,N,N,N,28547,28197,N,29163,28567,28645,N,N,28700,29053,N,N,29945,29640,N,N,28330,N,N,N,28123,N,N,28558,29817,29828,30253,N,N,27762
600,25599,26689,26573,27618,28693,28010,N,N,N,26986,27856,27813,N,N,N,N,26885,28890,28100,N,29667,N,N,N,N,28546,28196,N,29141,28569,28639,N,N,28700,29058,N,N,29943,29641,N,N,28336,N,N,N,28126,N,N,28540,29822,29813,30228,N,N,27767
600,N,26623,N,27608,28662,27973,N,N,N,26963,27854,27815,N,N,N,N,26886,28862,28102,N,29661,N,N,N,N,28535,28181,N,29145,28567,28640,N,N,28687,29053,N,N,29965,29639,N,N,28337,N,N,N,28110,N,N,28544,29812,29834,30227,N,N,27767
600,N,26665,26585,27586,28646,27945,N,N,N,26951,27861,27811,N,N,N,N,26885,28884,28103,N,29646,N,N,N,N,28530,28196,N,29136,28568,28640,N,N,28689,29047,N,N,30028,29645,N,N,28333,N,N,N,28117,N,N,28548,29820,29832,30210,N,N,27763
600,25604,26641,26574,27572,28658,27986,N,N,N,26948,27863,27802,N,N,N,N,26886,28881,28091,N,29647,N,N,N,N,28531,28193,N,29145,28567,28635,N,N,28690,29051,N,N,30042,29638,N,N,28336,N,N,N,28108,N,N,28535,29801,29842,30215,N,N,27763
600,25594,26624,26581,27554,28641,28021,N,N,N,26947,27861,27810,N,N,N,N,26875,28880,28084,N,29625,N,N,N,N,28534,28195,N,29139,28563,28636,N,N,28682,29045,N,N,30079,29650,N,N,28333,N,N,N,28101,N,N,28546,29801,29826,30209,N,N,27775
600,N,26626,26575,27543,28619,28043,N,N,N,26942,27861,27804,N,N,N,N,26864,28876,28087,N,29615,N,N,N,N,28552,28189,N,29131,28559,28638,N,N,28692,29045,N,N,30123,29653,N,N,N,N,N,N,28104,N,N,28545,29802,29829,30223,N,N,27759
600,25607,26644,26569,27527,28619,28044,N,N,N,26951,27866,27798,N,N,N,N,26861,28874,28092,N,29597,N,N,N,N,28559,28184,N,29145,28562,28640,N,N,28690,29039,N,N,30125,29636,N,N,N,N,N,N,28109,N,N,28545,29824,29841,30219,N,N,27759
600,25592,26619,N,27536,28635,28017,N,N,N,26950,27861,27809,N,N,N,N,26869,28865,28072,N,29581,N,N,N,N,28551,28149,N,29142,28565,28639,N,N,28680,29048,N,N,30105,29617,N,N,28331,N,N,N,28108,N,N,28537,29783,29838,30190,N,N,27759
600,N,26614,26560,27515,28653,28026,N,N,N,26938,27857,27806,N,N,N,N,26875,28869,28095,N,29572,N,N,N,N,28560,28171,N,29142,28562,28637,N,N,28681,29050,N,N,29995,29594,N,N,28331,N,N,N,28095,N,N,28538,29808,29835,30011,N,N,27766
600,N,26592,26575,27523,28618,28042,N,N,N,26931,27857,27802,N,N,N,N,26860,28869,28073,N,29541,N,N,N,N,28561,28161,N,29135,28555,28635,N,N,28680,29045,N,N,29943,29568,N,N,28327,N,N,N,28102,N,N,28528,29795,29843,29988,N,N,27764
600,25594,26586,26566,27507,28587,28025,N,N,N,26927,27860,27798,N,N,N,N,26847,28873,28074,N,29545,N,N,N,N,28558,28150,N,29128,28552,28635,N,N,28682,29047,N,N,29935,29522,N,N,28333,N,N,N,28102,N,N,28536,29791,29846,30020,N,N,27767
600,N,26601,26564,27494,28604,28020,N,N,N,26923,27846,27791,N,N,N,N,26836,28872,28081,N,29548,N,N,N,N,28557,28148,N,29141,28548,28635,N,N,28680,29049,N,N,29912,29532,N,N,28331,N,N,N,28102,N,N,28539,29797,N,30232,N,N,27761
600,N,26589,26561,27494,28544,28032,N,N,N,26907,27847,27780,N,N,N,N,26836,28876,28079,N,29556,N,N,N,N,28564,28146,N,29130,28539,28631,N,N,28678,29046,N,N,29927,29530,N,N,28331,N,N,N,28099,N,N,28532,29809,N,30136,N,N,27759
600,25575,26599,N,27492,28533,28032,N,N,N,26907,27848,27787,N,N,N,N,26841,28868,28055,N,29555,N,N,N,N,28571,28141,N,29144,28544,28627,N,N,28682,29042,N,N,29946,29509,N,N,28335,N,N,N,28106,N,N,28526,29827,29855,30100,N,N,27751
