Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,50,258.029,67.06,447168,0,447168,100.0,1616256,0,1616256,61.45
,,,,,,100,252.522,65.62,447168,0,447168,100.0,1572205,0,1572205,59.77
,,,,,,200,252.088,65.51,447168,0,447168,100.0,1568728,0,1568728,59.64
,,,,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,460.420,119.65,447168,0,447168,100.0,3235385,0,3235385,123.0
,,,,,,10,274.922,71.45,447168,0,447168,100.0,1751400,0,1751400,66.58
,,,,,,25,169.434,44.03,447168,0,447168,100.0,907500,0,907500,34.5
,,,,,,50,141.001,36.64,447168,0,447168,100.0,680038,0,680038,25.85
,,,,,,100,129.767,33.72,447168,0,447168,100.0,590165,0,590165,22.44
,,,,,,200,126.002,32.75,447168,0,447168,100.0,560040,0,560040,21.29
,,,,10,"[0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1]",5,455.299,118.32,447168,0,447168,100.0,3194419,0,3194419,121.44
,,,,,,10,264.335,68.69,447168,0,447168,100.0,1666708,0,1666708,63.36
,,,,,,25,150.843,39.2,447168,0,447168,100.0,758773,0,758773,28.85
,,,,,,50,116.266,30.21,447168,0,447168,100.0,482154,0,482154,18.33
,,,,,,100,100.538,26.13,447168,0,447168,100.0,356330,0,356330,13.55
,,,,,,200,94.336,24.52,447168,0,447168,100.0,306712,0,306712,11.66
,,,,15,"[0, 3, 2, 3, 4, 2, 3, 2, 3, 4, 2]",5,454.056,118.0,447168,0,447168,100.0,3184477,0,3184477,121.06
,,,,,,10,261.603,67.98,447168,0,447168,100.0,1644852,0,1644852,62.53
,,,,,,25,145.346,37.77,447168,0,447168,100.0,714793,0,714793,27.17
,,,,,,50,108.255,28.13,447168,0,447168,100.0,418066,0,418066,15.89
,,,,,,100,90.709,23.57,447168,0,447168,100.0,277701,0,277701,10.56
,,,,,,200,83.212,21.62,447168,0,447168,100.0,217720,0,217720,8.28
,,,,20,"[0, 4, 3, 4, 5, 3, 4, 3, 4, 5, 2]",5,453.449,117.84,447168,0,447168,100.0,3179615,0,3179615,120.88
,,,,,,10,260.133,67.6,447168,0,447168,100.0,1633088,0,1633088,62.09
,,,,,,25,142.707,37.09,447168,0,447168,100.0,693679,0,693679,26.37
,,,,,,50,104.449,27.14,447168,0,447168,100.0,387616,0,387616,14.74
,,,,,,100,86.072,22.37,447168,0,447168,100.0,240600,0,240600,9.15
,,,,,,200,77.713,20.2,447168,0,447168,100.0,173728,0,173728,6.6
,,,,30,"[0, 6, 4, 5, 8, 5, 7, 5, 6, 8, 3]",5,452.733,117.66,447168,0,447168,100.0,3173888,0,3173888,120.66
,,,,,,10,258.828,67.26,447168,0,447168,100.0,1622652,0,1622652,61.69
,,,,,,25,140.434,36.5,447168,0,447168,100.0,675495,0,675495,25.68
,,,,,,50,101.141,26.28,447168,0,447168,100.0,361156,0,361156,13.73
,,,,,,100,81.838,21.27,447168,0,447168,100.0,206733,0,206733,7.86
,,,,,,200,72.664,18.88,447168,0,447168,100.0,133336,0,133336,5.07
,vwc_333.smet.csv,26.088,CoderBasic,,,,381.638,100,443496,0,443496,100,2608800,0,2608800,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,627.094,164.32,443496,0,443496,100.0,4572450,0,4572450,175.27
,,,,,,10,500.503,131.15,443496,0,443496,100.0,3559724,0,3559724,136.45
,,,,,,25,442.683,116.0,443496,0,443496,100.0,3097163,0,3097163,118.72
,,,,,,50,435.946,114.23,443496,0,443496,100.0,3043266,0,3043266,116.65
,,,,,,100,437.187,114.56,443496,0,443496,100.0,3053194,0,3053194,117.03
,,,,,,200,441.100,115.58,443496,0,443496,100.0,3084496,0,3084496,118.23
,,,,1,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",5,555.374,145.52,443496,0,443496,100.0,3998691,0,3998691,153.28
,,,,,,10,398.728,104.48,443496,0,443496,100.0,2745520,0,2745520,105.24
,,,,,,25,318.703,83.51,443496,0,443496,100.0,2105320,0,2105320,80.7
,,,,,,50,302.687,79.31,443496,0,443496,100.0,1977198,0,1977198,75.79
,,,,,,100,298.581,78.24,443496,0,443496,100.0,1944348,0,1944348,74.53
,,,,,,200,299.192,78.4,443496,0,443496,100.0,1949232,0,1949232,74.72
,,,,3,"[0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 3]",5,526.639,137.99,443496,0,443496,100.0,3768811,0,3768811,144.47
,,,,,,10,356.482,93.41,443496,0,443496,100.0,2407556,0,2407556,92.29
,,,,,,25,263.420,69.02,443496,0,443496,100.0,1663057,0,1663057,63.75
,,,,,,50,240.399,62.99,443496,0,443496,100.0,1478894,0,1478894,56.69
,,,,,,100,232.150,60.83,443496,0,443496,100.0,1412899,0,1412899,54.16
,,,,,,200,230.115,60.3,443496,0,443496,100.0,1396616,0,1396616,53.53
,,,,5,"[0, 4, 1, 0, 3, 2, 2, 0, 1, 3, 5]",5,489.367,128.23,443496,0,443496,100.0,3470632,0,3470632,133.04
,,,,,,10,302.763,79.33,443496,0,443496,100.0,1977800,0,1977800,75.81
,,,,,,25,195.748,51.29,443496,0,443496,100.0,1121683,0,1121683,43.0
,,,,,,50,165.246,43.3,443496,0,443496,100.0,877664,0,877664,33.64
,,,,,,100,152.648,40.0,443496,0,443496,100.0,776881,0,776881,29.78
