DATASET:,NOAA-SPC-tornado
TIME UNIT:,minutes
FIRST TIMESTAMP:,2015-01-03 20:05:00
Time Delta,Latitude,Longitude
5,4578,-12254
3000,3251,-9541
5,3250,-9540
28,3048,-9550
25,3304,-9530
41,3339,-9526
15,3354,-9523
39,3536,-10066
11,3400,-9527
73,3401,-9514
12846,3104,-9273
75,3119,-9243
1909,3315,-8003
20,3315,-8003
333,3545,-9240
83,3693,-9092
92,3789,-8948
8,3808,-8931
199,3961,-8611
12,3400,-9071
1,3469,-9077
14,3413,-9058
46,3996,-8488
0,3450,-8994
17,3999,-8452
6,4054,-9081
9,4057,-9067
18,4136,-9071
3,3485,-8918
0,3483,-8918
0,3477,-8944
19,3495,-8890
0,3503,-8889
21,3493,-8912
2,3517,-8859
6,3474,-8944
32,3495,-8904
8,3556,-8782
4,3471,-8858
7,3472,-8857
13,3465,-8857
12,3510,-8796
8,3495,-8807
5,3500,-8798
3,3503,-8792
3,3872,-8437
5,3877,-8427
24,3465,-8857
152,3606,-8598
13,3925,-8159
320,3204,-8532
44,3186,-8563
477,3286,-8406
3,3282,-8413
235,3765,-12099
36,3761,-12096
10,3870,-12110
0,3868,-12115
5,3761,-12096
838,3549,-8639
498,3313,-8735
8,3315,-8729
12,3210,-8936
65,3345,-8691
5,3345,-8690
1256,3494,-9696
6,3192,-9680
240,3252,-9688
10,3258,-9685
33,3281,-9659
14,3236,-9659
1206,3350,-9467
18,3272,-9499
12,3351,-9353
34,3354,-9255
12,3367,-9446
14,3349,-9326
4,3261,-9435
26,3345,-9217
3,3292,-9425
57,3358,-9196
124,3275,-9388
6,3261,-9388
41,3347,-9328
133,3276,-9313
223,3049,-9083
27,3007,-9051
86,3467,-9089
52,3154,-8953
8,3158,-8952
165,3078,-8724
447,3489,-8052
12652,3696,-12140
95,3436,-11895
159,3339,-11760
2314,2471,-8108
2167,2658,-8199
8185,2655,-8191
2400,2726,-8255
5,2726,-8255
30,2763,-8213
208,2709,-8015
6361,3195,-9031
11,3170,-9055
55,3186,-9001
26,3226,-8954
14,3089,-9052
51,3136,-8961
8019,2624,-8017
5,2625,-8016
105,2626,-8052
1395,2652,-8006
7513,3226,-8916
12,3227,-8915
23,3249,-8884
17,3259,-8874
13,3272,-8858
17,3281,-8853
15,3285,-8848
6,3300,-8834
20,3319,-8818
7,3579,-8916
16,3319,-8818
17,3300,-8856
5,3354,-8792
15,3319,-8818
48,3261,-8915
91,3388,-8802
5,3392,-8802
45,3392,-8802
122,3340,-8816
5,3342,-8812
861,3390,-8106
153,3186,-8164
16941,3095,-9192
38,3238,-9032
72,3173,-9040
3,3282,-8961
8,3175,-9028
10,3179,-9016
1,3179,-9014
11,3303,-8928
7,3188,-8996
12,3017,-9284
11,3108,-9019
9,3195,-8963
22,3201,-8938
6,3204,-8934
6,3211,-8926
17,3222,-8909
78,3095,-8729
18,3100,-8723
9,3224,-8602
5,3108,-8712
0,3226,-8600
28,3127,-8685
24,3143,-8664
83,3166,-8584
37,3240,-8535
3,3240,-8525
60,3077,-8524
469,2682,-8111
21,2617,-8119
122,2608,-8030
2,2627,-8008
36,3483,-7647
0,2595,-8017
6,2595,-8020
55,3483,-7647
7,3484,-7643
9947,2924,-9589
311,2990,-9040
15,2998,-9027
31,3030,-9097
23,3030,-9097
5,3029,-9099
7,3035,-9097
28,3052,-9070
29,3068,-9060
83,2982,-9154
46,2999,-9105
8,3007,-9089
7,3007,-9089
7,3140,-9054
4,3069,-8978
5,3100,-8970
3,3073,-8967
8,3007,-9047
2,3106,-8965
8,3026,-9038
2,3113,-8951
3,3336,-8800
2,3117,-8947
7,3123,-8942
3,3096,-8933
3,3007,-9047
7,3283,-9026
4,3178,-9004
39,3126,-8870
5,3031,-8994
2,3131,-8865
8,3130,-8874
5,3143,-8853
18,3424,-8792
71,3071,-9058
46,3046,-8720
6,3046,-8720
5,3052,-8717
7,3055,-8711
2,3047,-8725
115,3119,-8561
9,3125,-8553
9,3126,-8543
5,3135,-8538
0,3130,-8534
11,3141,-8528
5,3144,-8521
8,3150,-8516
5,3142,-8498
48,3164,-8442
31,3185,-8402
83,3086,-8430
135,3315,-8667
443,2754,-8220
18,2765,-8206
12,3500,-7809
15,3522,-7792
1,3515,-7798
2,2701,-8215
22,2704,-8201
58,3703,-7709
19,3620,-7676
22,3464,-7993
19,3734,-7879
30,3610,-7889
5,3609,-7890
0,3776,-7829
14,3788,-7813
9,3636,-7854
7,3643,-7843
8,3656,-7830
14,3672,-7823
0,3670,-7809
103,3792,-7687
5,3797,-7684
24,3824,-7662
6,4172,-7629
18,4003,-7598
47,3775,-7669
3,3779,-7662
10,3765,-7662
8494,3352,-8696
31,3333,-8698
5,3332,-8691
54,3311,-8622
3,3311,-8617
105,3268,-8535
9291,3240,-9790
93,3309,-9689
23,3075,-9783
593,3093,-9920
24,3099,-9906
2670,3203,-8954
3138,3656,-8834
1101,3427,-9402
13,3485,-9425
49,3457,-9344
150,3321,-9236
50,3456,-9091
25,3464,-9075
40,3534,-9055
5,3351,-9145
7,3354,-9135
51,3375,-9075
866,3970,-8459
40,3990,-8443
8,3997,-8446
4,3999,-8442
1701,4032,-9139
31,4056,-9071
7,4157,-9036
0,4056,-9067
8,4060,-9063
51,4157,-9036
13,4071,-8991
2,3974,-8980
3,4182,-9032
0,3967,-8985
3,4075,-8979
15,4074,-8961
28,4168,-8968
2227,3358,-9491
427,3055,-8913
193,3042,-8893
2505,2611,-8009
6201,3294,-9739
57,3579,-9448
65,3665,-9362
517,3019,-9319
285,4144,-8673
56,4137,-8687
4,4144,-8673
44,4179,-8610
4604,3696,-8771
2,3699,-8748
9,3694,-8759
2,3704,-8757
8,3704,-8752
16,3715,-8724
2880,3289,-11725
1273,3715,-9657
123,3672,-9553
27,3619,-9592
17,3624,-9585
10,3622,-9575
6,3672,-9553
15,3628,-9558
185,3345,-9145
4,3353,-9144
400,3081,-9061
10,3086,-9051
108,3114,-8942
467,4036,-8684
48,3507,-8829
4,3554,-8776
13,3559,-8761
97,3345,-8837
10,3346,-8828
5,3347,-8826
1,3107,-8427
5,3347,-8819
