Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,vwc_1205.dat.csv,26.305,,,,10,68.198,49.83,100.506,57.3,444.276,48.36
,vwc_1205.dat.csv,26.305,,,,25,33.925,24.79,44.572,25.41,226.020,24.6
,vwc_1205.dat.csv,26.305,,,,50,22.633,16.54,23.782,13.56,156.480,17.03
,vwc_1205.dat.csv,26.305,,,,100,17.034,12.45,12.576,7.17,122.893,13.38
,vwc_1205.dat.csv,26.305,,,,200,14.475,10.58,6.600,3.76,108.396,11.8
,vwc_1205.dat.csv,26.305,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,117.922,86.16,175.400,100.0,767.169,83.51
,vwc_1205.dat.csv,26.305,,,,10,67.362,49.22,100.506,57.3,437.584,47.63
,vwc_1205.dat.csv,26.305,,,,25,32.537,23.77,44.572,25.41,214.920,23.39
,vwc_1205.dat.csv,26.305,,,,50,20.921,15.29,23.782,13.56,142.784,15.54
,vwc_1205.dat.csv,26.305,,,,100,15.143,11.06,12.576,7.17,107.763,11.73
,vwc_1205.dat.csv,26.305,,,,200,12.378,9.04,6.600,3.76,91.620,9.97
,vwc_1205.dat.csv,26.305,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,117.802,86.07,175.400,100.0,766.207,83.4
,vwc_1205.dat.csv,26.305,,,,10,67.183,49.09,100.506,57.3,436.156,47.47
,vwc_1205.dat.csv,26.305,,,,25,32.215,23.54,44.572,25.41,212.340,23.11
,vwc_1205.dat.csv,26.305,,,,50,20.517,14.99,23.782,13.56,139.552,15.19
,vwc_1205.dat.csv,26.305,,,,100,14.663,10.71,12.576,7.17,103.921,11.31
,vwc_1205.dat.csv,26.305,,,,200,11.847,8.66,6.600,3.76,87.372,9.51
,vwc_1205.dat.csv,26.305,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,117.550,85.89,175.400,100.0,764.192,83.18
,vwc_1205.dat.csv,26.305,,,,10,66.797,48.81,100.506,57.3,433.062,47.14
,vwc_1205.dat.csv,26.305,,,,25,31.626,23.11,44.572,25.41,207.630,22.6
,vwc_1205.dat.csv,26.305,,,,50,19.683,14.38,23.782,13.56,132.880,14.46
,vwc_1205.dat.csv,26.305,,,,100,13.622,9.95,12.576,7.17,95.591,10.4
,vwc_1205.dat.csv,26.305,,,,200,10.686,7.81,6.600,3.76,78.084,8.5
,vwc_222.smet.csv,26.304,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,225.295,100,175.400,100,1.626.157,100
,vwc_222.smet.csv,26.304,,,,10,190.955,84.76,100.485,57.29,1.426.348,87.71
,vwc_222.smet.csv,26.304,,,,25,173.443,76.98,44.572,25.41,1.342.170,82.54
,vwc_222.smet.csv,26.304,,,,50,176.895,78.52,23.782,13.56,1.390.576,85.51
,vwc_222.smet.csv,26.304,,,,100,184.287,81.8,12.576,7.17,1.460.912,89.84
,vwc_222.smet.csv,26.304,,,,200,193.436,85.86,6.600,3.76,1.540.080,94.71
,vwc_222.smet.csv,26.304,,3,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",5,186.375,82.72,175.400,100.0,1.314.794,80.85
,vwc_222.smet.csv,26.304,,,,10,139.431,61.89,100.485,57.29,1.014.160,62.37
,vwc_222.smet.csv,26.304,,,,25,112.090,49.75,44.572,25.41,851.340,52.35
,vwc_222.smet.csv,26.304,,,,50,109.383,48.55,23.782,13.56,850.480,52.3
,vwc_222.smet.csv,26.304,,,,100,111.794,49.62,12.576,7.17,880.974,54.18
,vwc_222.smet.csv,26.304,,,,200,116.441,51.68,6.600,3.76,924.120,56.83
,vwc_222.smet.csv,26.304,,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,161.108,71.51,175.400,100.0,1.112.657,68.42
,vwc_222.smet.csv,26.304,,,,10,106.122,47.1,100.485,57.29,747.684,45.98
,vwc_222.smet.csv,26.304,,,,25,71.627,31.79,44.572,25.41,527.640,32.45
,vwc_222.smet.csv,26.304,,,,50,64.199,28.5,23.782,13.56,489.008,30.07
,vwc_222.smet.csv,26.304,,,,100,62.868,27.9,12.576,7.17,489.566,30.11
,vwc_222.smet.csv,26.304,,,,200,64.268,28.53,6.600,3.76,506.736,31.16
,vwc_222.smet.csv,26.304,,10,"[0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1]",5,155.887,69.19,175.400,100.0,1.070.888,65.85
,vwc_222.smet.csv,26.304,,,,10,95.657,42.46,100.485,57.29,663.964,40.83
,vwc_222.smet.csv,26.304,,,,25,53.848,23.9,44.572,25.41,385.410,23.7
,vwc_222.smet.csv,26.304,,,,50,41.835,18.57,23.782,13.56,310.096,19.07
,vwc_222.smet.csv,26.304,,,,100,37.194,16.51,12.576,7.17,284.172,17.48
,vwc_222.smet.csv,26.304,,,,200,36.314,16.12,6.600,3.76,283.104,17.41
,vwc_222.smet.csv,26.304,,15,"[0, 3, 2, 3, 4, 2, 3, 2, 3, 4, 2]",5,154.465,68.56,175.400,100.0,1.059.513,65.15
,vwc_222.smet.csv,26.304,,,,10,92.533,41.07,100.485,57.29,638.974,39.29
,vwc_222.smet.csv,26.304,,,,25,47.738,21.19,44.572,25.41,336.525,20.69
,vwc_222.smet.csv,26.304,,,,50,33.257,14.76,23.782,13.56,241.472,14.85
,vwc_222.smet.csv,26.304,,,,100,26.899,11.94,12.576,7.17,201.807,12.41
,vwc_222.smet.csv,26.304,,,,200,24.769,10.99,6.600,3.76,190.746,11.73
,vwc_222.smet.csv,26.304,,20,"[0, 4, 3, 4, 5, 3, 4, 3, 4, 5, 2]",5,153.818,68.27,175.400,100.0,1.054.339,64.84
