Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,10,119.331,31.27,99.180,22.36,854.664,32.76
,,,,,,25,80.827,21.18,40.755,9.19,605.055,23.19
,,,,,,50,71.575,18.75,20.920,4.72,550.872,21.12
,,,,,,100,68.730,18.01,10.742,2.42,538.294,20.63
,,,,,,200,68.764,18.02,5.544,1.25,543.764,20.84
,,,,5,"[0, 4, 1, 0, 3, 2, 2, 0, 1, 3, 5]",5,174.095,45.62,193.086,43.54,1.198.868,45.95
,,,,,,10,100.372,26.3,99.180,22.36,702.988,26.95
,,,,,,25,56.308,14.75,40.755,9.19,408.905,15.67
,,,,,,50,43.657,11.44,20.920,4.72,327.532,12.55
,,,,,,100,38.494,10.09,10.742,2.42,296.401,11.36
,,,,,,200,36.886,9.67,5.544,1.25,288.740,11.07
,,,,10,"[0, 8, 1, 1, 5, 3, 5, 1, 1, 5, 11]",5,166.103,43.52,193.086,43.54,1.134.936,43.5
,,,,,,10,88.588,23.21,99.180,22.36,608.716,23.33
,,,,,,25,40.715,10.67,40.755,9.19,284.160,10.89
,,,,,,50,25.652,6.72,20.920,4.72,183.492,7.03
,,,,,,100,18.746,4.91,10.742,2.42,138.419,5.31
,,,,,,200,15.885,4.16,5.544,1.25,120.730,4.63
,,,,15,"[0, 12, 2, 1, 8, 5, 7, 1, 2, 8, 16]",5,165.540,43.38,193.086,43.54,1.130.428,43.33
,,,,,,10,87.403,22.9,99.180,22.36,599.236,22.97
,,,,,,25,38.426,10.07,40.755,9.19,265.845,10.19
,,,,,,50,22.550,5.91,20.920,4.72,158.672,6.08
,,,,,,100,14.878,3.9,10.742,2.42,107.477,4.12
,,,,,,200,11.464,3.0,5.544,1.25,85.366,3.27
,,,,20,"[0, 16, 2, 2, 10, 7, 10, 2, 3, 10, 21]",5,165.278,43.31,193.086,43.54,1.128.335,43.25
,,,,,,10,86.867,22.76,99.180,22.36,594.954,22.81
,,,,,,25,37.368,9.79,40.755,9.19,257.380,9.87
,,,,,,50,20.867,5.47,20.920,4.72,145.214,5.57
,,,,,,100,12.618,3.31,10.742,2.42,89.397,3.43
,,,,,,200,8.785,2.3,5.544,1.25,63.928,2.45
,,,,30,"[0, 24, 3, 3, 15, 10, 15, 3, 4, 16, 32]",5,165.128,43.27,193.086,43.54,1.127.136,43.21
,,,,,,10,86.572,22.68,99.180,22.36,592.592,22.72
,,,,,,25,36.749,9.63,40.755,9.19,252.430,9.68
,,,,,,50,19.925,5.22,20.920,4.72,137.674,5.28
,,,,,,100,11.400,2.99,10.742,2.42,79.650,3.05
,,,,,,200,7.280,1.91,5.544,1.25,51.888,1.99
,vwc_SLF2.smet.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,209.243,54.38,194.694,43.54,1.478.443,56.2
,,,,,,10,151.730,39.43,100.016,22.37,1.113.018,42.31
,,,,,,25,122.488,31.83,41.106,9.19,937.990,35.66
,,,,,,50,118.687,30.84,21.120,4.72,927.572,35.26
,,,,,,100,119.541,31.06,10.865,2.43,944.654,35.91
,,,,,,200,122.387,31.8,5.586,1.25,972.708,36.98
,,,,3,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",5,192.095,49.92,194.694,43.54,1.341.258,50.99
,,,,,,10,126.504,32.87,100.016,22.37,911.212,34.64
,,,,,,25,91.276,23.72,41.106,9.19,688.300,26.17
,,,,,,50,84.677,22.0,21.120,4.72,655.492,24.92
,,,,,,100,83.639,21.74,10.865,2.43,657.438,24.99
,,,,,,200,84.949,22.08,5.586,1.25,673.202,25.59
,,,,5,"[0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 0]",5,179.023,46.52,194.694,43.54,1.236.687,47.01
,,,,,,10,107.505,27.94,100.016,22.37,759.220,28.86
,,,,,,25,65.483,17.02,41.106,9.19,481.950,18.32
,,,,,,50,54.293,14.11,21.120,4.72,412.418,15.68
,,,,,,100,50.115,13.02,10.865,2.43,389.247,14.8
,,,,,,200,49.358,12.83,5.586,1.25,388.470,14.77
,,,,10,"[0, 4, 1, 2, 1, 1, 3, 2, 1, 1, 1]",5,166.181,43.19,194.694,43.54,1.133.946,43.11
,,,,,,10,88.522,23.0,100.016,22.37,607.354,23.09
,,,,,,25,40.330,10.48,41.106,9.19,280.725,10.67
,,,,,,50,25.019,6.5,21.120,4.72,178.230,6.78
,,,,,,100,17.850,4.64,10.865,2.43,131.130,4.98
,,,,,,200,14.977,3.89,5.586,1.25,113.428,4.31
,,,,15,"[0, 6, 2, 2, 1, 2, 5, 3, 2, 1, 1]",5,165.860,43.1,194.694,43.54,1.131.383,43.01
,,,,,,10,87.892,22.84,100.016,22.37,602.318,22.9
,,,,,,25,39.070,10.15,41.106,9.19,270.645,10.29
,,,,,,50,23.169,6.02,21.120,4.72,163.430,6.21
,,,,,,100,15.499,4.03,10.865,2.43,112.321,4.27
,,,,,,200,12.137,3.15,5.586,1.25,90.702,3.45
,,,,20,"[0, 8, 2, 3, 2, 3, 7, 4, 2, 2, 1]",5,165.650,43.05,194.694,43.54,1.129.698,42.95
,,,,,,10,87.466,22.73,100.016,22.37,598.904,22.77
,,,,,,25,38.231,9.94,41.106,9.19,263.940,10.03
,,,,,,50,21.814,5.67,21.120,4.72,152.588,5.8
,,,,,,100,13.716,3.56,10.865,2.43,98.055,3.73
,,,,,,200,9.891,2.57,5.586,1.25,72.736,2.77
,,,,30,"[0, 12, 3, 5, 2, 4, 10, 6, 4, 3, 2]",5,165.424,42.99,194.694,43.54,1.127.894,42.88
,,,,,,10,87.030,22.62,100.016,22.37,595.416,22.64
,,,,,,25,37.361,9.71,41.106,9.19,256.980,9.77
,,,,,,50,20.636,5.36,21.120,4.72,143.166,5.44
,,,,,,100,12.106,3.15,10.865,2.43,85.176,3.24
,,,,,,200,7.930,2.06,5.586,1.25,57.046,2.17
NOAA-SST,noaa-buoy-201701.csv,4.392,CoderBasic,,,,492.948,100,74.664,100,3.864.960,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",5,371.084,75.28,32.930,44.1,2.931.780,75.86
,,,,,,10,357.561,72.54,17.366,23.26,2.839.160,73.46
,,,,,,25,352.400,71.49,7.410,9.92,2.807.829,72.65
,,,,,,50,356.745,72.37,4.280,5.73,2.845.714,73.63
,,,,,,100,363.447,73.73,2.706,3.62,2.900.908,75.06
,,,,,,200,371.391,75.34,1.890,2.53,2.965.272,76.72
