Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,10,210.916,54.81,447.185,100.0,1.239.336,47.11
,,,,,,25,122.231,31.76,447.185,100.0,529.861,20.14
,,,,,,50,92.742,24.1,447.185,100.0,293.948,11.17
,,,,,,100,78.228,20.33,447.185,100.0,177.831,6.76
,,,,,,200,71.216,18.51,447.185,100.0,121.736,4.63
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,190.743,49.57,447.185,100.0,1.077.954,40.98
,,,,,,10,154.725,40.21,447.185,100.0,789.808,30.03
,,,,,,25,134.866,35.05,447.185,100.0,630.940,23.99
,,,,,,50,130.630,33.95,447.185,100.0,597.052,22.7
,,,,,,100,129.769,33.72,447.185,100.0,590.164,22.44
,,,,,,200,130.556,33.93,447.185,100.0,596.454,22.67
,,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,190.743,49.57,447.185,100.0,1.077.954,40.98
,,,,,,10,154.725,40.21,447.185,100.0,789.808,30.03
,,,,,,25,134.866,35.05,447.185,100.0,630.940,23.99
,,,,,,50,130.630,33.95,447.185,100.0,597.052,22.7
,,,,,,100,129.769,33.72,447.185,100.0,590.164,22.44
,,,,,,200,130.556,33.93,447.185,100.0,596.454,22.67
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,179.579,46.67,447.185,100.0,988.639,37.58
,,,,,,10,138.252,35.93,447.185,100.0,658.022,25.02
,,,,,,25,114.026,29.63,447.185,100.0,464.215,17.65
,,,,,,50,107.949,28.05,447.185,100.0,415.600,15.8
,,,,,,100,105.876,27.51,447.185,100.0,399.015,15.17
,,,,,,200,105.690,27.47,447.185,100.0,397.528,15.11
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,179.143,46.55,447.185,100.0,985.154,37.45
,,,,,,10,137.409,35.71,447.185,100.0,651.278,24.76
,,,,,,25,112.561,29.25,447.185,100.0,452.495,17.2
,,,,,,50,105.852,27.51,447.185,100.0,398.824,15.16
,,,,,,100,103.294,26.84,447.185,100.0,378.363,14.38
,,,,,,200,102.820,26.72,447.185,100.0,374.570,14.24
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,167.426,43.51,447.185,100.0,891.418,33.89
,,,,,,10,120.167,31.23,447.185,100.0,513.342,19.51
,,,,,,25,90.644,23.56,447.185,100.0,277.165,10.54
,,,,,,50,81.416,21.16,447.185,100.0,203.336,7.73
,,,,,,100,77.160,20.05,447.185,100.0,169.289,6.44
,,,,,,200,75.397,19.59,447.185,100.0,155.188,5.9
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,167.220,43.46,447.185,100.0,889.768,33.83
,,,,,,10,119.789,31.13,447.185,100.0,510.322,19.4
,,,,,,25,89.966,23.38,447.185,100.0,271.740,10.33
,,,,,,50,80.521,20.92,447.185,100.0,196.176,7.46
,,,,,,100,76.100,19.78,447.185,100.0,160.811,6.11
,,,,,,200,74.177,19.28,447.185,100.0,145.426,5.53
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,163.563,42.5,447.185,100.0,860.512,32.71
,,,,,,10,114.324,29.71,447.185,100.0,466.600,17.74
,,,,,,25,82.809,21.52,447.185,100.0,214.480,8.15
,,,,,,50,72.327,18.8,447.185,100.0,130.624,4.97
,,,,,,100,67.093,17.44,447.185,100.0,88.751,3.37
,,,,,,200,64.662,16.8,447.185,100.0,69.306,2.63
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,163.319,42.44,447.185,100.0,858.564,32.64
,,,,,,10,113.762,29.56,447.185,100.0,462.102,17.57
,,,,,,25,81.738,21.24,447.185,100.0,205.915,7.83
,,,,,,50,70.956,18.44,447.185,100.0,119.656,4.55
,,,,,,100,65.498,17.02,447.185,100.0,75.990,2.89
,,,,,,200,62.831,16.33,447.185,100.0,54.654,2.08
,vwc_1205.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,364.626,94.75,447.185,100.0,2.469.019,93.86
,,,,,,10,259.096,67.33,447.185,100.0,1.624.780,61.77
,,,,,,25,197.741,51.39,447.185,100.0,1.133.939,43.11
,,,,,,50,178.934,46.5,447.185,100.0,983.482,37.39
,,,,,,100,170.167,44.22,447.185,100.0,913.348,34.72
,,,,,,200,166.423,43.25,447.185,100.0,883.392,33.58
,,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,359.410,93.4,447.185,100.0,2.427.289,92.27
,,,,,,10,251.671,65.4,447.185,100.0,1.565.380,59.51
,,,,,,25,189.313,49.2,447.185,100.0,1.066.513,40.54
,,,,,,50,170.321,44.26,447.185,100.0,914.580,34.77
,,,,,,100,161.430,41.95,447.185,100.0,843.453,32.06
,,,,,,200,157.562,40.95,447.185,100.0,812.504,30.89
,,,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,328.132,85.27,447.185,100.0,2.177.063,82.76
,,,,,,10,206.588,53.69,447.185,100.0,1.204.716,45.8
,,,,,,25,133.728,34.75,447.185,100.0,621.836,23.64
,,,,,,50,111.199,28.9,447.185,100.0,441.598,16.79
,,,,,,100,100.422,26.1,447.185,100.0,355.387,13.51
,,,,,,200,95.449,24.8,447.185,100.0,315.600,12.0
,,,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,323.000,83.94,447.185,100.0,2.136.012,81.2
,,,,,,10,198.872,51.68,447.185,100.0,1.142.984,43.45
,,,,,,25,123.672,32.14,447.185,100.0,541.389,20.58
,,,,,,50,100.139,26.02,447.185,100.0,353.120,13.42
,,,,,,100,88.849,23.09,447.185,100.0,262.800,9.99
,,,,,,200,83.622,21.73,447.185,100.0,220.984,8.4
,,,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,322.034,83.69,447.185,100.0,2.128.278,80.91
,,,,,,10,196.887,51.16,447.185,100.0,1.127.104,42.85
,,,,,,25,120.596,31.34,447.185,100.0,516.778,19.65
,,,,,,50,96.291,25.02,447.185,100.0,322.340,12.25
,,,,,,100,84.485,21.95,447.185,100.0,227.886,8.66
,,,,,,200,78.809,20.48,447.185,100.0,182.480,6.94
,,,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,321.394,83.52,447.185,100.0,2.123.160,80.71
,,,,,,10,195.933,50.92,447.185,100.0,1.119.472,42.56
,,,,,,25,118.899,30.9,447.185,100.0,503.202,19.13
,,,,,,50,94.228,24.49,447.185,100.0,305.834,11.63
,,,,,,100,82.054,21.32,447.185,100.0,208.443,7.92
,,,,,,200,76.272,19.82,447.185,100.0,162.184,6.17
,,,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,321.168,83.46,447.185,100.0,2.121.351,80.64
,,,,,,10,195.568,50.82,447.185,100.0,1.116.552,42.45
,,,,,,25,118.472,30.79,447.185,100.0,499.784,19.0
,,,,,,50,93.672,24.34,447.185,100.0,301.386,11.46
,,,,,,100,81.366,21.14,447.185,100.0,202.937,7.71
,,,,,,200,75.430,19.6,447.185,100.0,155.448,5.91
,,,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,320.564,83.3,447.185,100.0,2.116.524,80.46
,,,,,,10,194.551,50.56,447.185,100.0,1.108.420,42.14
,,,,,,25,117.213,30.46,447.185,100.0,489.710,18.62
,,,,,,50,92.242,23.97,447.185,100.0,289.944,11.02
,,,,,,100,79.756,20.73,447.185,100.0,190.054,7.23
,,,,,,200,73.626,19.13,447.185,100.0,141.016,5.36
,,,CoderPWLHint,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,167.512,43.53,447.185,100.0,892.103,33.91
,,,,,,10,131.364,34.14,447.185,100.0,602.924,22.92
,,,,,,25,109.213,28.38,447.185,100.0,425.715,16.18
,,,,,,50,102.814,26.72,447.185,100.0,374.522,14.24
,,,,,,100,100.144,26.02,447.185,100.0,353.162,13.43
,,,,,,200,99.427,25.84,447.185,100.0,347.428,13.21
,,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,167.512,43.53,447.185,100.0,892.103,33.91
